term,label,rrr,ci_low,ci_high
rep_attorney,Attorney,2.004862854292876,1.9413246736162915,2.0704805945910723
rep_agent,Agent,1.642559985543848,1.5424529729403056,1.7491640610389105
rep_vso,VSO,1.285815757797795,1.2557214511984973,1.316631297030992
rep_generic,rep_generic,1.0,0.0,inf
