term,label,odds_ratio,ci_low,ci_high
rep_attorney,Attorney,1.2782451663563883,1.169478122971409,1.3971280635519985
rep_agent,Agent,1.3097955422871508,1.1483541538864004,1.49393317104246
rep_vso,VSO,1.1441677513561972,1.102372131267323,1.187548021318799
Pro se (ref),Pro se,,,
