term,label,rrr,ci_low,ci_high
rep_attorney,Attorney,1.3661473783131837,,
rep_agent,Agent,1.5538260389490397,,
rep_vso,VSO,1.5818755082849896,,
rep_generic,rep_generic,1.0,,
