outcome,term,coef,se,RRR,RRR_lower,RRR_upper,z,pvalue,inference
grant_vs_deny,rep_attorney,0.6149690399443815,0.06482806705026443,1.8495993349735915,1.6289017724794441,2.1001988933485083,9.486154191016759,2.3971534638722e-21,logit_fallback_cluster_robust+wild_bootstrap
grant_vs_deny,rep_agent,0.45860975771989987,0.0441518284212694,1.581873268484762,1.4507376830768954,1.7248625073551842,10.387106811163733,2.8383239725164904e-25,logit_fallback_cluster_robust+wild_bootstrap
grant_vs_deny,rep_vso,0.23255763363585025,0.022223208994803092,1.2618231677203238,1.2080411264481035,1.3179995877103543,10.464628834217145,1.2556767823641684e-25,logit_fallback_cluster_robust+wild_bootstrap
grant_vs_deny,hearing,0.2559163609817244,0.016864715371668317,1.2916446915277768,1.2496475091330757,1.3350532825926857,15.17466232555861,5.2044888737307515e-52,logit_fallback_cluster_robust+wild_bootstrap
grant_vs_deny,len_chars_clip,-8.687561099219303e-06,5.400877349778182e-06,0.9999913124766375,0.9999807269050237,1.0000018981603078,-1.6085462669460744,0.10771559165312469,logit_fallback_cluster_robust+wild_bootstrap
grant_vs_deny,ama_cue,0.08860615621378697,0.020880670779174507,1.0926502380663485,1.0488350179391779,1.138295844748084,4.243453534172809,2.201059643002358e-05,logit_fallback_cluster_robust+wild_bootstrap
remand_vs_deny,rep_attorney,0.1098055353781111,0.05266368879602972,1.1160610149714674,1.0066064321721742,1.2374172758376438,2.0850331203231107,0.037066294237540855,logit_fallback_cluster_robust+wild_bootstrap
remand_vs_deny,rep_agent,0.45669149354971966,0.06959479910653267,1.578841726251092,1.3775212484539978,1.8095845703644502,6.562149749877665,5.303751099009095e-11,logit_fallback_cluster_robust+wild_bootstrap
remand_vs_deny,rep_vso,0.3273779474888408,0.03362581068784535,1.3873257143769488,1.298839740373561,1.4818399668137299,9.735912407523825,2.11907365067358e-22,logit_fallback_cluster_robust+wild_bootstrap
remand_vs_deny,hearing,0.2642421451951272,0.06850696477242198,1.3024435385648343,1.1387925042374414,1.4896121680087835,3.8571573864486832,0.00011471330466957662,logit_fallback_cluster_robust+wild_bootstrap
remand_vs_deny,len_chars_clip,-0.0001640867045937043,1.554976706251951e-05,0.9998359267568934,0.9998054546783596,0.9998663997641553,-10.552357725615828,4.953813462938439e-26,logit_fallback_cluster_robust+wild_bootstrap
remand_vs_deny,ama_cue,-0.27552352112103784,0.1855362316693062,0.75917457524697,0.5277278650780577,1.0921273516913277,-1.485011949645081,0.13754065867689255,logit_fallback_cluster_robust+wild_bootstrap
