term,coef,se,OR,OR_lower,OR_upper,z,pvalue,inference
rep_attorney,7.146545274546781,0.9307809284481385,1269.7118634605959,204.8370233265034,7870.492306670733,7.678009997972335,1.6157888446972586e-14,cluster_robust+wild_bootstrap
rep_agent,7.0624696175503825,0.9223240862747484,1167.3244538974973,191.4667967464781,7116.8808577885,7.6572538033518995,1.8995101371285945e-14,cluster_robust+wild_bootstrap
rep_vso,7.2250025151441974,0.9373536584734156,1373.3420697781844,218.71933762075136,8623.235883664653,7.70787253010877,1.279324322362869e-14,cluster_robust+wild_bootstrap
hearing,0.18028139169314003,0.012896156670896051,1.1975542975457265,1.1676637113889117,1.22821004162608,13.97946661891893,2.0804131570015024e-44,cluster_robust+wild_bootstrap
len_chars_clip,2.839847229468571e-05,1.9028567292107889e-06,1.0000283988755352,1.0000246691773846,1.000032128587596,14.92412532101878,2.2962687153498294e-50,cluster_robust+wild_bootstrap
