term,coef,se,lower_ci,upper_ci,z,pvalue,odds_ratio,note
Intercept,0.0,0.010829413787027169,0.9789980277370299,1.021452517439199,0.0,1.0,1.0,logit_default
rep_attorney,0.0,0.008039640451198699,0.9843658076379012,1.0158825024607618,0.0,1.0,1.0,logit_default
rep_agent,0.0,0.022326925093618936,0.9571829139070042,1.0447323969858866,0.0,1.0,1.0,logit_default
rep_vso,0.0,0.007053951972727319,0.9862693908079896,1.013921763485696,0.0,1.0,1.0,logit_default
hearing,0.0,0.00443309578100699,0.9913487713877854,1.0087267255096344,0.0,1.0,1.0,logit_default
len_chars_clip,0.0,1.2443484469182512e-07,0.9999997561077342,1.0000002438923254,0.0,1.0,1.0,logit_default
ama_cue,0.0,0.006990066721354026,0.986392894353271,1.0137948131263155,0.0,1.0,1.0,logit_default
