term,coef,se,OR,OR_lower,OR_upper,z,pvalue,inference
rep_attorney,1.6444939891272987,0.44873609419467964,5.178388922783184,2.1489325801482564,12.478619424046126,3.664724122713096,0.0002476053333205789,cluster_robust+wild_bootstrap
rep_agent,1.291826074187345,0.4306644820960012,3.6394263540474814,1.5647462797432448,8.464902174880867,2.999611363119977,0.0027032428315740256,cluster_robust+wild_bootstrap
rep_vso,0.8358950970693554,0.35470045442205445,2.306878004169671,1.1510587907398075,4.623296541353457,2.356622571660797,0.01844198029005156,cluster_robust+wild_bootstrap
hearing,0.4003121942574803,0.09057853059888347,1.4922905094531442,1.249543487093739,1.7821956479349514,4.419504176218275,9.892760986005963e-06,cluster_robust+wild_bootstrap
len_chars_clip,2.4384380070129343e-06,5.177376171317422e-06,1.00000243844098,0.9999922908104272,1.000012586174508,0.4709794935360966,0.6376553789388819,cluster_robust+wild_bootstrap
ama_cue,0.2519312761182152,0.039118132909096916,1.2865076204490784,1.1915556658684534,1.3890260479498835,6.440268422413091,1.1926239358680292e-10,cluster_robust+wild_bootstrap
